,precision,recall,f1-score,support
0,0.6731744074530758,0.8027938893881219,0.7322925593352957,12241.0
1,0.8740543642719257,0.778340457164096,0.8234253274679906,21524.0
accuracy,0.787205686361617,0.787205686361617,0.787205686361617,0.787205686361617
macro avg,0.7736143858625008,0.7905671732761089,0.7778589434016432,33765.0
weighted avg,0.8012283150665491,0.787205686361617,0.7903864939210539,33765.0
