,precision,recall,f1-score,support
0,0.6676899986355573,0.8089766903620433,0.7315742263417552,12098.0
1,0.8746746203904555,0.7680476190476191,0.8179006085192698,21000.0
accuracy,0.78300803673938,0.78300803673938,0.78300803673938,0.78300803673938
macro avg,0.7711823095130064,0.7885121547048313,0.7747374174305125,33098.0
weighted avg,0.7990174823763532,0.78300803673938,0.7863465396455139,33098.0
