,precision,recall,f1-score,support
0,0.674667233078448,0.7990775681341719,0.7316211754769857,11925.0
1,0.8719880322701288,0.7803117230828074,0.8236065904675397,20916.0
accuracy,0.7871258487865778,0.7871258487865778,0.7871258487865778,0.7871258487865778
macro avg,0.7733276326742884,0.7896946456084897,0.7776138829722627,32841.0
weighted avg,0.8003382490613107,0.7871258487865778,0.7902054737609121,32841.0
