,precision,recall,f1-score,support
0,0.6771027714423941,0.7928299749130048,0.730410795496906,12357.0
1,0.8656450089220111,0.7792686383823113,0.8201889607160616,21166.0
accuracy,0.7842675178235838,0.7842675178235838,0.7842675178235838,0.7842675178235838
macro avg,0.7713738901822026,0.786049306647658,0.7752998781064838,33523.0
weighted avg,0.7961459656223175,0.7842675178235838,0.7870955983197038,33523.0
