,precision,recall,f1-score,support
0,0.6634241245136187,0.800067035361153,0.7253665577755831,11934.0
1,0.8722013926084627,0.7707307837940174,0.8183325795266093,21128.0
accuracy,0.7813199443469845,0.7813199443469845,0.7813199443469845,0.7813199443469845
macro avg,0.7678127585610407,0.7853989095775852,0.7718495686510962,33062.0
weighted avg,0.796841525769074,0.7813199443469845,0.7847757316778178,33062.0
